SA Code,Entity,DM,Owner Group,Owner / Contact,Feb Actual Rev,Feb Actual NOI,Priority,Action Needed
SA12,ModBox Guardian,Lisa,ModBox (Passive Investing),Christopher Neary / Passive Investing,85212,,High,Request 2026 budget from Christopher Neary
SA20,ModBox Piedmont,Lisa,ModBox (Passive Investing),Christopher Neary / Passive Investing,83331,,High,Request 2026 budget from Christopher Neary
SA19,ModBox Mooresville,Lisa,ModBox (Passive Investing),Christopher Neary / Passive Investing,68393,,High,Request 2026 budget from Christopher Neary
SA15,ModBox High Point,Lisa,ModBox (Passive Investing),Christopher Neary / Passive Investing,61799,,High,Request 2026 budget from Christopher Neary
SA18,ModBox Mint Hill,Lisa,ModBox (Passive Investing),Christopher Neary / Passive Investing,59521,,High,Request 2026 budget from Christopher Neary
SA12,ModBox East Flat Rock,Lisa,ModBox (Passive Investing),Christopher Neary / Passive Investing,51133,,High,Request 2026 budget from Christopher Neary
SA13,ModBox Flat Rock,Lisa,ModBox (Passive Investing),Christopher Neary / Passive Investing,37191,,Med,Request 2026 budget from Christopher Neary
SA14,ModBox Gastonia,Lisa,ModBox (Passive Investing),Christopher Neary / Passive Investing,20153,,Med,Request 2026 budget from Christopher Neary
SA33,247 Pine Island,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,35414,23384,Med,Create 2026 budget template — financials uploaded no budget
SA38,247 Havelock,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,31281,21487,Med,Create 2026 budget template
SA34,PSS Cartersville,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,26494,12746,Med,Create 2026 budget template
SA37,247 Linden,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,26290,8296,Med,Create 2026 budget template
SA36,247 Danielsville,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,22274,6789,Med,Create 2026 budget template
ESC32,247 Tuscaloosa,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,20030,-1304,Med,Create 2026 budget template — currently marginal
ESC35,PSS Lafayette,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,19698,14986,Med,Create 2026 budget template
ESC31,Pilot Anniston,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,16860,-25555,Med,CREATE BUDGET — FLAG: -$25k NOI needs GL review
WSC22,247 Trumann,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,17545,3438,Low,Create 2026 budget template
ESC33,PSS Elberta,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,14068,-499,Low,Create 2026 budget template
SA35,Pilot Bainbridge,Joey,24/7 Pilot (need budget),Pat Barberio / 247 Storeit,14044,3390,Low,Create 2026 budget template
